TRADER,TRADE_COUNT,PERP_TRADE_COUNT,SPOT_TRADE_COUNT,SHORT_COUNT,LONG_COUNT,AVG_USD_TRADE_SIZE,TOTAL_USD_VOLUME,TOTAL_FEE_AMOUNT,DEFI_INTERACTIONS,Cluster
0xcfdab66183e98c262a5bdd8fde843248fa6f0e87,3,13,0,1,12,10041.278037304,130536.614484946,9.293976546,0,0
0xe5072116ca31c712fcc75facf1e62299d8aa7bbe,45,56,0,24,32,2331.113512878,130542.356721176,7.536042776,0,0
0x74d99f2af83e124af0a0b076f88c44057818b468,16,45,0,24,21,2915.756006775,131209.020304875,26.244445475,0,0
0xab31f3f00daa856a1559a193fb3c97f00c771be8,2,26,0,6,20,5124.937490127,133248.3747433,7.9087567,0,0
0xf70faa422a0f580e6729ae2bbf53fe4c5cd68906,2,9,0,5,4,14825.465716344,133429.191447097,26.688525097,0,0
0x3e60e961317aaba1892b3aab7edef27c2d78aca8,148,96,72,75,93,797.208863846,133931.089126085,30.296320285,0,0
0xb4e56e03fcd419ef7e2ad8287e26028534fd339a,952,999,0,522,477,407.362491219,406955.128728152,98.174396392,0,0
0x72dcb76414dc83c068f60ebabe3b0ac8d2c61182,79,149,0,72,77,2740.035403072,408265.275057782,57.703764182,0,0
0x6bca16ce53c2c6f5465b8e92c90cc92f99798a02,8,47,0,0,47,8865.505675603,416678.766753351,83.335753351,0,0
0xd2f9e23e25e9a477363e3a4df3f69dce2d42845b,15,43,0,19,24,9793.481420064,421119.701062733,84.502263933,0,0
0xc33f1a326b0b9d128ab6eb33663d38f361b017aa,78,176,0,65,111,2433.017770828,428211.127665665,49.389983665,0,0
0xafb5d3095585c318186db960a288fe6d41b5c1a4,2,26,0,10,16,16547.907732254,430245.6010386,43.1059614,0,0
0x0c7a14b319b3475cd7aed80607a72c78e93f021a,58,0,194,60,134,2231.967026544,433001.603149482,82.930668682,0,0
0xd4022d7189870ed5ca8e4c8fdf1a0a8b526fca5a,15,100,1,35,66,4370.010592782,441371.069871003,80.293157883,0,0
0x336fd7ba816766746fd14248ad1511e5aafaa5e1,86,215,0,108,107,2070.624623853,445184.294128303,89.045798383,0,0
0x0dab9910d8beaebee505767b5d4e8e25f41cb7a0,119,198,0,97,101,2382.751423093,471784.7817725,29.3932319,0,0
0xcdd9626a33ab79e9e17ad6a8e4ec728dee3f85a5,915,919,0,451,468,517.123856944,475236.824531537,97.735841337,0,0
0xe247c69ee56b2bd8b86a25905104f8eacd44a7a4,80,192,0,91,101,2590.853289692,497443.831620793,99.498711393,0,0
0x3b6b2a0cc5be24f04e9239e3340e2019c2b5af88,84,222,0,110,112,2242.895437679,497922.787164681,99.594643081,0,0
0x38d269ddeb85ffc0d53d2daad31f6534b17c7f63,299,388,17,123,282,1239.992670348,502197.03149085,64.47851345,0,0
0x6f68bf96d57d99c6510899d6b515d2ed38b812a4,11,83,0,0,83,6097.886415645,506124.5724985,101.3004985,0,0
0xeb5a62068f2857dcf813d2ea369c6ce8e4381c8a,2,0,4,4,0,131214.86052825,524859.442113,104.992887,0,0
0x6967d7acd1ec5f210e9590666498e0cc5d13a843,38,106,0,50,56,5142.564864205,545111.87560572,109.35059292,0,0
0x46a6bcb8733c8222f4bdf7541b30b5c662e4550e,1,23,0,0,23,24046.578576585,553071.307261452,110.614261452,0,0
0xbb6185bf5980d94494f38cc1e1f396ec26a1b280,5,55,0,19,36,10102.0586063,555613.223346512,111.133772912,0,0
0x664b10643898951f47f6b8bf5e6c4ba54fdb6123,22,90,0,43,47,6395.523202938,575597.088264385,115.131088185,0,0
0x442c4b2bf9b985ef4b447fd77be5ff33cbab2d6e,459,578,0,330,248,1076.113566727,621993.641568,0.267132,0,0
0x442c4b2bf9b985ef4b447fd77be5ff33cbab2d6e,6181,6459,0,3246,3213,865.280954121,5588849.682668,0.125332,0,0
0x4c87bee6a8c7365d4f1530e9b12fbc8bef51f4c6,4,35,0,20,15,18553.965495529,649388.792343503,129.890687903,0,0
